res_price,res_sqr,construction_year,bedrooms,bathrooms,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,location_region_Αττική,location_region_Θεσσαλονίκη,res_type_Διαμέρισμα,res_type_Κτίριο,res_type_Μεζονέτα,res_type_Μονοκατοικία,res_type_Οικία,levels_1ος,"levels_1ος,2ος","levels_1ος,2ος,3ος","levels_1ος,2ος,3ος,4ος,5ος","levels_1ος,5ος",levels_2ος,"levels_2ος,3ος","levels_2ος,3ος,4ος","levels_2ος,3ος,4ος,5ος",levels_3ος,"levels_3ος,4ος","levels_3ος,4ος,5ος",levels_4ος,"levels_4ος,5ος",levels_5ος,"levels_5ος,6ος",levels_6ος,"levels_6ος,7ος",levels_7ος,"levels_7ος,8ος",levels_8ος,levels_Ημιυπόγειο,"levels_Ημιυπόγειο,1ος,2ος","levels_Ημιυπόγειο,Ημιώροφος,1ος","levels_Ημιυπόγειο,Ημιώροφος,1ος,2ος","levels_Ημιυπόγειο,Ισόγειο","levels_Ημιυπόγειο,Ισόγειο,1ος","levels_Ημιυπόγειο,Ισόγειο,1ος,2ος","levels_Ημιυπόγειο,Ισόγειο,1ος,2ος,3ος,4ος","levels_Ημιυπόγειο,Ισόγειο,Ημιώροφος","levels_Ημιυπόγειο,Ισόγειο,Υπερυψωμένο","levels_Ημιυπόγειο,Ισόγειο,Υπερυψωμένο,1ος","levels_Ημιυπόγειο,Ισόγειο,Υπερυψωμένο,Ημιώροφος","levels_Ημιυπόγειο,Υπερυψωμένο","levels_Ημιυπόγειο,Υπερυψωμένο,1ος","levels_Ημιυπόγειο,Υπερυψωμένο,1ος,2ος",levels_Ημιώροφος,"levels_Ημιώροφος,1ος,2ος",levels_Ισόγειο,"levels_Ισόγειο,1ος","levels_Ισόγειο,1ος,2ος","levels_Ισόγειο,1ος,2ος,3ος","levels_Ισόγειο,1ος,2ος,3ος,4ος","levels_Ισόγειο,1ος,2ος,3ος,4ος,5ος","levels_Ισόγειο,1ος,2ος,3ος,4ος,5ος,6ος","levels_Ισόγειο,Ημιώροφος,1ος","levels_Ισόγειο,Υπερυψωμένο","levels_Ισόγειο,Υπερυψωμένο,1ος",levels_Υπερυψωμένο,"levels_Υπερυψωμένο,1ος","levels_Υπερυψωμένο,1ος,2ος","levels_Υπερυψωμένο,2ος",levels_Υπόγειο,"levels_Υπόγειο,1ος","levels_Υπόγειο,Ημιυπόγειο,Ισόγειο,1ος","levels_Υπόγειο,Ισόγειο","levels_Υπόγειο,Ισόγειο,1ος","levels_Υπόγειο,Ισόγειο,1ος,2ος","levels_Υπόγειο,Ισόγειο,1ος,2ος,3ος","levels_Υπόγειο,Ισόγειο,1ος,2ος,3ος,4ος","levels_Υπόγειο,Υπερυψωμένο,1ος",status_Άλλη κατάσταση,status_Άριστη,status_Ανακαινισμένο,status_Ημιτελές,status_Καλή,status_Νεόδμητο,status_Υπο κατασκευή,status_Χρήζει ανακαίνισης,energyclass_Α,energyclass_Α+,energyclass_Β,energyclass_Β+,energyclass_Γ,energyclass_Δ,energyclass_Ε,energyclass_Εκρεμμεί,energyclass_Εξαιρείται,energyclass_Ζ,energyclass_Η,energyclass_Μη αποδοτικό,neighborhood_Other,"neighborhood_Άλιμος,Καλαμάκι","neighborhood_Άνω Λιόσια,Άγιος Γεώργιος","neighborhood_Άνω Λιόσια,Άγιος Ιωάννης Θεολόγος","neighborhood_Άνω Λιόσια,Δροσούπολη",neighborhood_Άρτεμις,"neighborhood_Αθήνα,Άγιος Νικόλαος","neighborhood_Αθήνα,Άγιος Παντελεήμονας","neighborhood_Αθήνα,Άνω Κυψέλη","neighborhood_Αθήνα,Άνω Πατήσια","neighborhood_Αθήνα,Αγία Παρασκευή","neighborhood_Αθήνα,Ακαδημία Πλάτωνος","neighborhood_Αθήνα,Αμπελόκηποι","neighborhood_Αθήνα,Γκύζη","neighborhood_Αθήνα,Ελληνορώσων","neighborhood_Αθήνα,Ιλίσια","neighborhood_Αθήνα,Κάτω Πετράλωνα","neighborhood_Αθήνα,Καλλιρρόης","neighborhood_Αθήνα,Κολιάτσου","neighborhood_Αθήνα,Κολωνάκι","neighborhood_Αθήνα,Κουκάκι","neighborhood_Αθήνα,Κυψέλη","neighborhood_Αθήνα,Λυκαβηττός","neighborhood_Αθήνα,Μουσείο","neighborhood_Αθήνα,Νέα Κυψέλη","neighborhood_Αθήνα,Νέα Φιλοθέη","neighborhood_Αθήνα,Νέος Κόσμος","neighborhood_Αθήνα,Νιρβάνα","neighborhood_Αθήνα,Παγκράτι","neighborhood_Αθήνα,Πανόρμου","neighborhood_Αθήνα,Πεδίον Άρεως","neighborhood_Αθήνα,Πλατεία Αμερικής","neighborhood_Αθήνα,Πλατεία Αττικής","neighborhood_Αθήνα,Πλατεία Βικτωρίας","neighborhood_Αθήνα,Τρεις Γέφυρες",neighborhood_Αμπελόκηποι,neighborhood_Δ. Μεγάρων,neighborhood_Δροσιά,neighborhood_Εθνικιστών και Αναπήρων Πολέμου,neighborhood_Εκάλη,neighborhood_Ευκαρπία,neighborhood_Ζεφύρι,"neighborhood_Ηράκλειο,Άνω Ψαλίδι","neighborhood_Ηράκλειο,Αγία Τριάδα",neighborhood_Θέρμη,"neighborhood_Θεσσαλονίκη,Ανάληψη","neighborhood_Θεσσαλονίκη,Ανω Πόλη","neighborhood_Θεσσαλονίκη,Ανω Τούμπα","neighborhood_Θεσσαλονίκη,Βαρδάρη","neighborhood_Θεσσαλονίκη,Κάτω Τούμπα","neighborhood_Θεσσαλονίκη,Κέντρο","neighborhood_Θεσσαλονίκη,Ντεπώ","neighborhood_Θεσσαλονίκη,Ξηροκρήνη","neighborhood_Θεσσαλονίκη,Παπάφειο","neighborhood_Θεσσαλονίκη,Πυλαία","neighborhood_Θεσσαλονίκη,Φάληρο","neighborhood_Θεσσαλονίκη,Χαριλάου",neighborhood_Κέντρο,neighborhood_Καλαμαριά,"neighborhood_Καλλιθέα,Κέντρο","neighborhood_Καλλιθέα,Λόφος Φιλαρέτου","neighborhood_Καλλιθέα,ΟΤΕ","neighborhood_Καλλιθέα,Σταθμός ΗΣΑΠ Ταύρου","neighborhood_Καλλιθέα,Τζιτζιφιές","neighborhood_Καλλιθέα,Χρυσάκη",neighborhood_Καματερό,"neighborhood_Κηφισιά,Κάτω Κηφισιά","neighborhood_Κηφισιά,Κεφαλάρι","neighborhood_Κηφισιά,Νέα Κηφισιά","neighborhood_Κηφισιά,Πολιτεία","neighborhood_Κορυδαλλός,Πλατεία Ελευθερίας","neighborhood_Λυκόβρυση,Κέντρο","neighborhood_Μαρούσι,Νέα Φιλοθέη","neighborhood_Μαρούσι,Νέο Τέρμα",neighborhood_Μοσχάτο,"neighborhood_Νέα Ερυθραία,Καστρί","neighborhood_Νέα Ερυθραία,Μορτερό","neighborhood_Νέα Ιωνία,Λαζάρου","neighborhood_Νέα Ιωνία,Περισσός","neighborhood_Νέα Ιωνία,Σαφράμπολη",neighborhood_Νέα Πέραμος,neighborhood_Νέα Πεντέλη,"neighborhood_Νέα Σμύρνη,Χρυσάκη","neighborhood_Νέο Ψυχικό,Πλατεία Ελευθερίας",neighborhood_Ντράφι,"neighborhood_Πέραμα,Κέντρο",neighborhood_Παιανία,neighborhood_Παλλήνη,"neighborhood_Παλλήνη,Κέντρο",neighborhood_Πανόραμα,neighborhood_Πεντέλη,neighborhood_Περαία,"neighborhood_Πεύκη,Άνω Πεύκη",neighborhood_Πυλαία,neighborhood_Ραφήνα,neighborhood_Σαλαμίνα,neighborhood_Σπάτα,neighborhood_Συκιές,"neighborhood_Ταύρος Αττικής,Κέντρο",neighborhood_Φιλοθέη,neighborhood_Ψυχικό,neighborhood_Ωραιόκαστρο
600000,205.0,2004.0,3.0,2.0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57000,21.0,1968.0,1.0,1.0,0,0,0,1,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
364000,97.0,2022.0,2.0,2.0,0,0,0,1,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83000,100.0,1960.0,2.0,1.0,1,1,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83000,33.0,1987.0,1.0,1.0,0,0,1,1,0,0,1,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145000,52.0,1939.0,1.0,1.0,0,0,1,1,0,0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135000,78.0,1970.0,2.0,,1,0,0,0,1,0,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156000,87.0,2009.0,3.0,1.0,0,0,1,1,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59000,32.0,2005.0,1.0,1.0,1,0,1,1,0,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150000,70.0,1973.0,,1.0,0,0,1,1,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1800000,520.0,2019.0,6.0,6.0,1,1,1,1,0,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
490000,220.0,1987.0,6.0,2.0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
500000,287.0,2000.0,4.0,3.0,0,0,1,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130000,50.0,1969.0,1.0,1.0,0,0,1,1,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69000,58.0,1970.0,1.0,1.0,1,0,0,1,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250000,89.0,1962.0,1.0,1.0,1,1,1,0,0,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
288000,95.0,2009.0,2.0,1.0,1,0,1,1,1,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
340000,220.0,2009.0,3.0,1.0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
300000,150.0,2022.0,4.0,2.0,0,1,1,1,0,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70000,135.0,,3.0,,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190000,110.0,,3.0,1.0,0,1,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
280000,260.0,2000.0,,,0,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
360000,240.0,1993.0,4.0,2.0,1,0,0,1,0,1,0,0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
280000,140.0,2021.0,3.0,2.0,0,0,1,1,0,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
